риа новости,совфед одобрить закон отмена возрастной предел заключение первый контракт военный служба,2022-05-25 13:33:33+0300
риа новости,госдума принять чтение закон отмена возрастной предел заключение первый контракт прохождение военный служба закон предусмотреть контракт вправе заключить гражданин иностранец,2022-05-25 13:24:45+0300
риа новости,александр куренковы назначить глава мчс сентябрь погибнуть глава ведомство зиничев обязанность министр исполнять зам чуприян,2022-05-25 13:23:57+0300
риа новости,еврокомиссия официально предложить рассматривать обход санкция преступление уровень евросоюз,2022-05-25 13:12:00+0300
риа новости,митинг оппозиция кишинёвский сизый содержаться лидер додон выставить оцепление протестовать скандировать свобода додон долой майя санда,2022-05-25 12:57:17+0300
